gender,subCategory,articleType,baseColour,usage,style,weather_condition,trend_score
2,3,14,30,0,0,2,0.3
4,1,39,12,0,0,0,0.3
4,7,54,1,0,0,1,0.3
4,7,55,1,0,0,2,0.3
2,3,14,17,0,0,2,0.3
4,7,20,24,1,1,2,0.3
2,7,54,29,0,0,1,0.3
2,7,54,2,5,4,1,0.3
4,7,20,19,1,1,2,0.3
1,2,12,1,0,0,2,0.3
4,3,6,40,0,0,0,0.3
4,7,20,2,1,1,2,0.3
4,1,39,3,0,0,2,0.3
4,7,38,10,0,0,2,0.3
4,7,55,28,0,0,2,0.3
4,7,55,29,0,0,1,0.3
4,7,20,17,1,1,1,0.3
2,7,54,26,0,0,2,0.3
4,7,54,10,0,0,2,0.3
1,1,9,28,0,0,2,0.3
2,1,50,11,5,4,1,0.3
4,4,29,15,0,0,2,0.3
4,7,38,38,0,0,2,0.3
4,2,12,11,0,0,1,0.3
2,7,54,10,0,0,2,0.3
4,1,52,26,0,0,2,0.3
4,4,0,28,0,0,0,0.3
4,7,38,11,0,0,1,0.3
4,7,54,26,0,0,1,0.3
1,1,39,28,0,0,2,0.3
4,3,6,27,0,0,2,0.3
4,7,20,3,1,1,1,0.3
4,1,22,29,1,1,1,0.3
2,1,50,2,5,4,1,0.3
4,7,20,2,1,1,1,0.3
2,1,52,22,2,2,0,0.3
2,7,38,17,0,0,1,0.3
2,3,7,22,0,0,2,0.3
2,7,46,22,0,0,1,0.3
0,7,38,30,0,0,2,0.3
4,7,54,32,0,0,2,0.3
2,1,52,5,2,2,1,0.3
4,3,6,3,0,0,2,0.3
2,3,14,0,0,0,2,0.3
2,7,54,30,5,4,2,0.3
4,7,38,2,2,2,2,0.3
4,7,20,28,1,1,2,0.3
0,7,54,40,0,0,2,0.3
2,7,38,0,0,0,1,0.3
2,7,54,11,5,4,1,0.3
4,7,15,2,0,0,2,0.3
4,7,38,22,0,0,2,0.3
2,7,54,3,0,0,2,0.3
2,7,15,10,0,0,1,0.3
2,7,45,11,0,0,1,0.3
2,7,54,30,0,0,0,0.3
2,7,54,10,0,0,1,0.3
4,7,20,13,1,1,2,0.3
4,3,8,30,0,0,0,0.3
1,7,54,41,0,0,2,0.3
4,7,21,19,1,1,2,0.3
4,2,12,1,0,0,2,0.3
4,7,54,38,0,0,2,0.3
2,7,38,7,2,2,1,0.3
2,7,38,2,2,2,1,0.3
2,7,54,7,0,0,2,0.3
4,5,36,33,1,1,1,0.3
4,7,49,2,0,0,1,0.3
2,7,38,40,2,2,1,0.3
4,7,54,22,0,0,2,0.3
0,1,16,1,0,0,2,0.3
2,7,15,40,0,0,1,0.3
2,7,46,11,0,0,1,0.3
4,7,20,40,1,1,2,0.3
4,7,49,38,0,0,2,0.3
4,7,21,1,1,1,2,0.3
4,2,12,41,0,0,1,0.3
4,7,38,30,0,0,1,0.3
4,4,29,10,0,0,0,0.3
2,1,52,11,0,0,2,0.3
2,7,45,30,0,0,1,0.3
4,7,49,0,0,0,2,0.3
2,7,38,22,0,0,2,0.3
4,7,55,3,0,0,2,0.3
1,2,12,22,0,0,2,0.3
4,1,9,2,5,4,2,0.3
4,4,24,19,0,0,2,0.3
2,7,38,26,0,0,1,0.3
4,7,46,28,0,0,1,0.3
2,7,54,5,0,0,1,0.3
0,7,54,2,5,4,2,0.3
4,5,36,13,1,1,1,0.3
4,1,22,3,0,0,1,0.3
2,1,16,40,0,0,2,0.3
2,7,46,1,5,4,1,0.3
4,0,19,28,1,1,1,0.3
2,4,28,1,0,0,2,0.3
2,7,38,28,0,0,2,0.3
4,3,6,17,0,0,2,0.3
0,7,54,40,0,0,1,0.3
2,7,54,41,5,4,2,0.3
4,2,12,19,0,0,2,0.3
2,7,38,1,2,2,1,0.3
4,7,54,2,0,0,2,0.3
4,7,54,11,0,0,2,0.3
4,1,22,0,1,1,1,0.3
2,7,54,30,5,4,1,0.3
4,7,20,40,1,1,1,0.3
4,7,38,1,0,0,1,0.3
0,7,54,2,0,0,2,0.3
4,7,46,28,5,4,1,0.3
4,7,54,40,0,0,1,0.3
2,7,38,29,0,0,2,0.3
2,7,15,25,0,0,1,0.3
4,5,36,30,1,1,1,0.3
4,3,7,14,0,0,2,0.3
4,7,49,1,0,0,1,0.3
4,7,20,16,1,1,2,0.3
4,7,49,7,0,0,2,0.3
4,2,12,28,0,0,2,0.3
2,3,53,1,0,0,2,0.3
4,7,38,40,4,0,1,0.3
1,2,12,16,0,0,2,0.3
4,2,12,12,0,0,2,0.3
2,7,54,2,5,4,0,0.3
4,7,55,2,0,0,2,0.3
4,7,20,29,1,1,2,0.3
4,7,55,28,1,1,2,0.3
4,7,15,1,0,0,2,0.3
4,7,49,30,0,0,2,0.3
2,1,52,1,0,0,2,0.3
2,7,54,27,0,0,1,0.3
4,1,39,28,5,4,2,0.3
2,1,52,11,0,0,1,0.3
4,2,18,25,0,0,2,0.3
4,7,55,41,0,0,2,0.3
4,7,55,22,0,0,1,0.3
4,7,21,29,1,1,1,0.3
2,7,38,30,0,0,2,0.3
2,7,38,40,2,2,2,0.3
2,4,28,2,0,0,2,0.3
2,7,38,11,0,0,2,0.3
4,1,50,11,0,0,2,0.3
1,7,54,11,0,0,1,0.3
2,7,54,10,0,0,0,0.3
4,7,20,17,1,1,2,0.3
4,7,21,40,1,1,1,0.3
4,1,22,2,0,0,1,0.3
2,7,54,21,0,0,1,0.3
2,3,14,2,0,0,2,0.3
2,7,15,30,5,4,1,0.3
2,1,52,3,2,2,1,0.3
2,7,38,11,0,0,1,0.3
2,3,53,0,0,0,2,0.3
2,7,45,40,0,0,1,0.3
4,1,9,2,0,0,0,0.3
2,1,39,11,0,0,2,0.3
